TESAURO INTEF – NPROCOMUN,ÁRBOL CURRICULAR LOE
Educación Especial,Educación Especial
Educación Infantil,Educación Infantil
Educación Primaria,Educación Primaria
6 -7 años / Primer curso,Primer curso
7 - 8 años / Segundo curso,Segundo curso
8 - 9 años / Tercer curso,Tercer curso
9 - 10 años / Cuarto curso,Cuarto curso
10 - 11 años / Quinto curso,Quinto curso
11 - 12 / Sexto curso,Sexto curso
Educación Secundaria Obligatoria,Educación Secundaria Obligatoria
12 - 13 años / Primer curso,Primer curso
13 - 14 años / Segundo curso,Segundo curso
14 - 15 años / Tercer curso,Tercer curso
15 - 16 / Cuarto curso,Cuarto curso
Bachillerato,Bachillerato
Formación Profesional,Formación Profesional | Programas de Cualificación Profesional Inicial
Formación Profesional Básica (más de 15 años),Programas de Cualificación Profesional Inicial
Ciclo formativo grado medio (más de 16 años),Ciclo formativo grado medio
Ciclo formativo grado superior (más de 18 años),Ciclo formativo grado superior
Educación de Personas Adultas,Educación de Personas Adultas
Enseñanza oficial de idiomas,Escuela oficial de idiomas
Nivel básico (A),Nivel básico
Nivel intermedio (B),Nivel intermedio
Nivel avanzado ( C ),Nivel avanzado
Enseñanzas de artes plásticas y diseño,Enseñanzas de artes plásticas y diseño | Estudios superiores de artes plásticas y diseño
Enseñanzas de música,Enseñanzas de música
Enseñanzas de danza,Enseñanzas de danza
Enseñanzas de arte dramático,Enseñanzas de arte dramático
Enseñanzas deportivas,Enseñanzas deportivas
Enseñanzas Universitarias,Enseñanzas Universitarias
Formación del Profesorado,
